DATE,S4248SM144NCEN
0.0,3459.0
3.0,4564.0
4.0,4221.0
7.0,4137.0
8.0,4126.0
11.0,4936.0
12.0,3031.0
15.0,4377.0
16.0,4307.0
19.0,4457.0
20.0,4364.0
23.0,4974.0
24.0,3075.0
27.0,4261.0
28.0,4460.0
31.0,4719.0
32.0,4374.0
35.0,4971.0
36.0,3370.0
39.0,3994.0
40.0,4715.0
43.0,5000.0
44.0,4235.0
47.0,4826.0
48.0,3699.0
51.0,4619.0
52.0,5219.0
55.0,5062.0
56.0,4365.0
59.0,5097.0
60.0,3758.0
63.0,4635.0
64.0,5210.0
67.0,5034.0
68.0,4970.0
71.0,5965.0
72.0,3796.0
75.0,5090.0
76.0,5237.0
79.0,5107.0
80.0,5515.0
83.0,6286.0
84.0,4032.0
87.0,5483.0
88.0,5587.0
91.0,5889.0
92.0,5828.0
95.0,6771.0
96.0,4243.0
99.0,5353.0
100.0,6435.0
103.0,6630.0
104.0,5887.0
107.0,6678.0
108.0,5082.0
111.0,5894.0
112.0,6799.0
115.0,6840.0
116.0,5575.0
119.0,7180.0
120.0,5117.0
123.0,6525.0
124.0,7216.0
127.0,7070.0
128.0,6148.0
131.0,7975.0
132.0,5326.0
135.0,6741.0
136.0,7144.0
139.0,7266.0
140.0,6634.0
143.0,8540.0
144.0,5629.0
147.0,7094.0
148.0,7333.0
151.0,7396.0
152.0,7259.0
155.0,9058.0
156.0,5557.0
159.0,7262.0
160.0,8241.0
163.0,8496.0
164.0,7741.0
167.0,8902.0
168.0,6066.0
171.0,7335.0
172.0,8843.0
175.0,9156.0
176.0,8037.0
179.0,9545.0
180.0,6627.0
183.0,7828.0
184.0,9570.0
187.0,9543.0
188.0,8123.0
191.0,10065.0
192.0,7093.0
195.0,8895.0
196.0,9794.0
199.0,9375.0
200.0,9225.0
203.0,10839.0
204.0,7266.0
207.0,9162.0
208.0,9369.0
211.0,8923.0
212.0,9272.0
215.0,10843.0
216.0,6558.0
219.0,9424.0
220.0,9351.0
223.0,9273.0
224.0,9420.0
227.0,11455.0
228.0,6901.0
231.0,9281.0
232.0,9967.0
235.0,10469.0
236.0,10085.0
239.0,11483.0
240.0,7486.0
243.0,9423.0
244.0,11342.0
247.0,11163.0
248.0,9532.0
251.0,11922.0
252.0,8395.0
255.0,10493.0
256.0,12218.0
259.0,11462.0
260.0,10494.0
263.0,12709.0
264.0,8557.0
267.0,10977.0
268.0,11792.0
271.0,10981.0
272.0,10828.0
275.0,13310.0
276.0,8400.0
279.0,11107.0
280.0,11508.0
283.0,11224.0
284.0,12022.0
287.0,14183.0
288.0,8648.0
291.0,11420.0
292.0,12238.0
295.0,12700.0
296.0,12272.0
299.0,14421.0
300.0,9043.0
303.0,11491.0
304.0,13545.0
307.0,13402.0
308.0,11907.0
311.0,14265.0
312.0,9564.0
315.0,11919.0
316.0,14138.0
319.0,14257.0
320.0,12396.0
323.0,15504.0
324.0,10718.0
