DATE,MILES
0.0,80173.0
3.0,89956.0
4.0,97972.0
7.0,106969.0
8.0,95254.0
11.0,89911.0
12.0,85336.0
15.0,98106.0
16.0,103655.0
19.0,112642.0
20.0,101290.0
23.0,95515.0
24.0,92465.0
27.0,103238.0
28.0,110945.0
31.0,119913.0
32.0,108072.0
35.0,101040.0
36.0,96664.0
39.0,108120.0
40.0,114819.0
43.0,124426.0
44.0,110332.0
47.0,98856.0
48.0,95030.0
51.0,104579.0
52.0,112167.0
55.0,124070.0
56.0,109125.0
59.0,105083.0
60.0,98342.0
63.0,107133.0
64.0,116659.0
67.0,126103.0
68.0,111399.0
71.0,107945.0
72.0,102460.0
75.0,117014.0
76.0,123278.0
79.0,131913.0
80.0,119431.0
83.0,113030.0
84.0,102445.0
87.0,121513.0
88.0,128884.0
91.0,136337.0
92.0,124203.0
95.0,116257.0
96.0,109838.0
99.0,122741.0
100.0,134427.0
103.0,149461.0
104.0,131385.0
107.0,124595.0
108.0,114354.0
111.0,129539.0
112.0,132394.0
115.0,139942.0
116.0,127576.0
119.0,123226.0
120.0,116462.0
123.0,125698.0
124.0,131269.0
127.0,138666.0
128.0,127482.0
131.0,124798.0
132.0,116049.0
135.0,128465.0
136.0,134305.0
139.0,143464.0
140.0,131185.0
143.0,124421.0
144.0,109757.0
147.0,129845.0
148.0,140283.0
151.0,153300.0
152.0,136311.0
155.0,127139.0
156.0,119436.0
159.0,132741.0
160.0,143619.0
163.0,157649.0
164.0,139938.0
167.0,129776.0
168.0,122529.0
171.0,141327.0
172.0,151046.0
175.0,164920.0
176.0,146074.0
179.0,136095.0
180.0,124122.0
183.0,147635.0
184.0,156726.0
187.0,169437.0
188.0,150424.0
191.0,141584.0
192.0,132998.0
195.0,150277.0
196.0,160459.0
199.0,173977.0
200.0,155462.0
203.0,149628.0
204.0,139918.0
207.0,159801.0
208.0,167776.0
211.0,177378.0
212.0,164184.0
215.0,155580.0
216.0,148879.0
219.0,166804.0
220.0,178042.0
223.0,184503.0
224.0,171072.0
227.0,164798.0
228.0,159750.0
231.0,174320.0
232.0,184823.0
235.0,194172.0
236.0,177326.0
239.0,167530.0
240.0,163600.0
243.0,179033.0
244.0,189247.0
247.0,197057.0
248.0,178415.0
251.0,168621.0
252.0,157889.0
255.0,179538.0
256.0,191929.0
259.0,204063.0
260.0,183594.0
263.0,172782.0
264.0,167652.0
267.0,186069.0
268.0,196725.0
271.0,204753.0
272.0,190908.0
275.0,180999.0
276.0,171680.0
279.0,188737.0
280.0,205981.0
283.0,209634.0
284.0,193765.0
287.0,186828.0
288.0,169314.0
291.0,195407.0
292.0,206594.0
295.0,215045.0
296.0,200511.0
299.0,193087.0
300.0,193838.0
303.0,198213.0
304.0,212586.0
307.0,219216.0
308.0,203866.0
311.0,193341.0
312.0,183465.0
315.0,205253.0
316.0,218676.0
319.0,229050.0
320.0,207604.0
323.0,201462.0
324.0,190126.0
327.0,211290.0
328.0,226082.0
331.0,233496.0
332.0,213547.0
335.0,207322.0
336.0,196870.0
339.0,217921.0
340.0,227899.0
343.0,237143.0
344.0,219461.0
347.0,216303.0
348.0,193581.0
351.0,220996.0
352.0,230786.0
355.0,241503.0
356.0,224306.0
359.0,221465.0
360.0,203442.0
363.0,227698.0
364.0,242501.0
367.0,247832.0
368.0,227899.0
371.0,218390.0
372.0,209685.0
375.0,232513.0
376.0,245357.0
379.0,253274.0
380.0,226312.0
383.0,229584.0
384.0,215215.0
387.0,237226.0
388.0,251746.0
391.0,258666.0
392.0,233625.0
395.0,234260.0
396.0,218534.0
399.0,239415.0
400.0,253244.0
403.0,260687.0
404.0,237451.0
407.0,238538.0
408.0,222450.0
411.0,250968.0
412.0,257235.0
415.0,262836.0
416.0,243515.0
419.0,245029.0
420.0,224072.0
423.0,250860.0
424.0,262678.0
427.0,265323.0
428.0,242240.0
431.0,245787.0
432.0,233282.0
435.0,250644.0
436.0,263370.0
439.0,265206.0
440.0,245605.0
443.0,248187.0
444.0,233621.0
447.0,252595.0
448.0,267574.0
451.0,271225.0
452.0,245965.0
455.0,240281.0
456.0,232920.0
459.0,252088.0
460.0,261466.0
463.0,260609.0
464.0,239607.0
467.0,241742.0
468.0,225529.0
471.0,251374.0
472.0,258276.0
475.0,260297.0
476.0,241970.0
479.0,239593.0
480.0,220839.0
483.0,253936.0
484.0,256927.0
487.0,263837.0
488.0,244682.0
491.0,240800.0
492.0,223790.0
495.0,249578.0
496.0,254083.0
499.0,260526.0
500.0,242062.0
503.0,244810.0
504.0,227527.0
507.0,249394.0
508.0,260774.0
511.0,264379.0
512.0,238867.0
515.0,238709.0
516.0,229419.0
519.0,252064.0
520.0,263406.0
523.0,268061.0
524.0,242536.0
527.0,241237.0
528.0,226413.0
531.0,256736.0
532.0,266237.0
535.0,268831.0
536.0,247688.0
539.0,252271.0
540.0,233498.0
543.0,262817.0
544.0,270839.0
547.0,272209.0
548.0,255090.0
551.0,259424.0
552.0,239679.0
555.0,269653.0
556.0,277972.0
559.0,279213.0
560.0,262039.0
563.0,264778.0
564.0,244587.0
567.0,272904.0
568.0,283956.0
571.0,283184.0
572.0,262673.0
575.0,266535.0
576.0,245695.0
579.0,272475.0
580.0,286164.0
583.0,286608.0
584.0,260595.0
587.0,268413.0
